Index,Title,Category,New Category,Reference Number,Maker/Artist,Materials,Measurements,Time Period,FINAL,Additional Information,Image Link
270,Chinese Export Roosters,Sculpture,Figures,361,Chinese,Porcelain,Height,Ch'ien Lung (1736-1785),1736,,https://artcrimes.fbi.gov/nsaf/chinese-export-roosters/ChineseExportRoosters.gif/@@images/image/thumb
271,Sewing Ribbons,Paintings,Physical Art,789,Elaine Kurie,Oil on canvas,40 x 32 in,1997,1997,painting; interior; realism; girl; ballet; toe shoes; sewing; windows; signed faintly bottom left,https://artcrimes.fbi.gov/nsaf/sewing-ribbons/SewingRibbons.gif/@@images/image/thumb
272,Tao Kuang Style Bowl,Bowls,Containers,828,Asian,Porcelain,,1821-1850,1836,bowl; Asian; flowers; blue; white,https://artcrimes.fbi.gov/nsaf/tao-kuang-style-bowl/seal-fbi.jpg/@@images/image/thumb
273,Melba's Room,Paintings,Physical Art,984,Gloria Longval,Acrylic on canvas,36 x 30 in,20th Century,1955,"painting, expressionism, girl",https://artcrimes.fbi.gov/nsaf/melbas-room/MelbasRoom.gif/@@images/image/thumb
274,Dragon on Parade,Sports Collectibles,,1130,Margaret Keane,Oil on canvas,Height,Mid 1960's,1960,"""Keane"" in lower left",https://artcrimes.fbi.gov/nsaf/dragon-on-parade/01130_picture.jpg/@@images/image/thumb
275,Evening Light on the Thames,Paintings,Physical Art,448,Sir William Ashton,Oil on canvas,28.00 x 38.00 cm,c. 1924,1924,"painting; impressionism; sailboat; dock; river; brown; Signed lower left ""Will Ashton""",https://artcrimes.fbi.gov/nsaf/evening-light-on-the-thames/EveningLightThames.gif/@@images/image/thumb
276,Alligator Skull,Other - Arts and Antiques,Miscellaneous,1019,,Bone,8 in,,,fossil; skull; alligator,https://artcrimes.fbi.gov/nsaf/alligator-skull/01019_picture.jpg/@@images/image/thumb
277,Paul Hart Cello,stringinstruments,Instruments,743,Paul Hart,Maple spruce,26.20 x 27.00 cm,2007-2008,2008,"cello; Paul Hart stamped on inside, number 487 written by hand below stamped name.",https://artcrimes.fbi.gov/nsaf/paul-hart-cello/PaulHartCello.jpg/@@images/image/thumb
278,Burnt Russet Macchia with Pine Frost Lip Wrap,Sculpture,Figures,872,Dale Chihuly,Glass,20 x 35 in,,,Sculpture,https://artcrimes.fbi.gov/nsaf/burnt-russet-macchia-with-pine-frost-lip-wrap/BurntRussetMacchiaPineFrostLipWrap.jpg/@@images/image/thumb
279,Mussaenda erosa,Paintings,Physical Art,1056,Mang Hang Ho,Watercolor and pencil on paper,Height 20 in; Width,1986,1986,signed Ho Mang Hang in lower right,https://artcrimes.fbi.gov/nsaf/mussaenda-erosa/MussaendaErosa.gif/@@images/image/thumb
280,Final Portrait,Paintings,Physical Art,39,Aurel Bernath; Austria,Watercolor on paper,19 x 18 in,,,painting; portrait; right facing; woman; Signed,https://artcrimes.fbi.gov/nsaf/final-portrait/FinalPortrait.gif/@@images/image/thumb
281,Intriguing Desert,Paintings,Physical Art,964,Victor Matson,Oil on canvas,22 x 28 in,1900-1963,1932,painting; exterior; desert; Signed lower right,https://artcrimes.fbi.gov/nsaf/intriguing-desert/IntriguingDesert.gif/@@images/image/thumb
282,Birthing my Husband (2/4),Sculpture,Figures,721,Pat Lasch,Casting plaster,,1994,1994,sculpture; face; egg,https://artcrimes.fbi.gov/nsaf/birthing-my-husband-2-4/00721_picture_2.jpg/@@images/image/thumb
283,Untitled (S1-C7),"drawing,watercolour",Physical Art,964,Juarez Marialva Tito Martins Paraiso,Ink on paper,59 x 39 3/8 in,1900-1965,1933,drawing; abstract art; lines,https://artcrimes.fbi.gov/nsaf/untitled-s1-c7/Untitled%28S1-C7%29.gif/@@images/image/thumb
284,"Album of Plants, Animals and Birds: Peach Blossoms and Swallows","drawing,watercolour",Physical Art,356,Chen Chia-yen; China,Ink on paper,28.00 x 24.00 cm,1368-1643,1506,drawing; Asian; birds; flowers; branches; Seal of artist in lower right,https://artcrimes.fbi.gov/nsaf/album-of-plants-animals-and-birds-peach-blossoms-and-swallows/AlbumPeachSwallow.gif/@@images/image/thumb
285,Janet or No Name Portrait,Watercolour Drawings,Physical Art,714,Larry Rivers,Graphite on paper,"Approximately 18"" x 20""",ca 1967,1967,Frame is polished steel. Back of frame has gallery stamps. DE106,https://artcrimes.fbi.gov/nsaf/janet-or-no-name-portrait/JanetOrNoNamePortrait.gif/@@images/image/thumb
286,Four Section Ivory Flute,Instruments - Wind,Instruments,1039,English,Ivory,35.5 in,Early 19th Century,1832,flute; music,https://artcrimes.fbi.gov/nsaf/four-section-ivory-flute/01039_picture_3.JPG/@@images/image/thumb
287,"Duck Cuff Links, Green Tourmaline & Diamond Details","other,jewelry",Accessories,911,Zadora Limited,Tourmaline; gold; diamond,,20th Century,1967,"cuff links; duck; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/duck-cuff-links-green-tourmaline-diamond-details/seal-fbi.jpg/@@images/image/thumb
288,Aries (Zodiac),Print,Physical Art,191,Erte,Serigraph,,,,print; Signed by artist; Edition 302/350,https://artcrimes.fbi.gov/nsaf/aries-zodiac/Aries%2000191.png/@@images/image/thumb
289,Shoreline with Girl,Paintings,Physical Art,643,Howard Behrens,Oil on canvas,32 x 42 in,1980-1985,1983,painting; landscape; seascape; signed Behrens at lower left; linen matte and gilt wood frame,https://artcrimes.fbi.gov/nsaf/shoreline-with-girl/ShorelineWithGirl.gif/@@images/image/thumb
290,Byzantine Architectural Embellishment,None,Miscellaneous,1098,Byzantine; Turkey,Marble,66.50 x 11.00 cm,,,architectural element; birds; foliage,https://artcrimes.fbi.gov/nsaf/byzantine-architectural-embellishment/RomanEmbellishment.gif/@@images/image/thumb
291,The Kenyon Book,Books,Physical Art,895,W. B. Bodine,Printed paper,26.00 cm,Copyright 1890,1890,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/the-kenyon-book-id-013019/seal-fbi.jpg/@@images/image/thumb
292,Country Scene by C. Scholkem,"drawing,watercolour",Physical Art,141,C. Scholkem,Chalk on paper,6 9/16 x 11 5/8 in,,,drawing; exterior; buildings; trees; fence,https://artcrimes.fbi.gov/nsaf/country-scene-by-c-scholkem/CountryScene.gif/@@images/image/thumb
293,Style #11; Pamela Lange,Other - Assorted,Miscellaneous,1139,Tom Tapia (Birdell),Ceramic pot,Height,,,,https://artcrimes.fbi.gov/nsaf/style-11-pamela-lange/01139_picture_13.jpg/@@images/image/thumb
294,"C. Plinii Caec. Sec. Epist. lib. IX [i.e. X] Eiusdem & Traiani imp. epist. amoebaeae. Eivsdem Pl. et Pacati, Mamertini, Nazarii [et al.] panegyrici",Books,Physical Art,895,Pliny,Printed paper book,Length,Copyright,,No Image Associated with this Item,https://artcrimes.fbi.gov/nsaf/c-plinii-caec-sec-epist-lib-ix-i-e-x-eiusdem-traiani-imp-epist-amoebaeae-eivsdem-pl-et-pacati-mamertini-nazarii-et-al-panegyrici/seal-fbi.jpg/@@images/image/thumb
295,Red Clay Horse,Sculpture,Figures,1049,,Clay,7.70 x 13.50 x 3.50 cm,,,sculpture; horse,https://artcrimes.fbi.gov/nsaf/red-clay-horse/ClayHorse.gif/@@images/image/thumb
296,Saint Nicholas,"icon,triptych,diptych",Relgion,285,Vladimir Ovchinnikov,Silver; gilding; enamel,,1873,1873,icon,https://artcrimes.fbi.gov/nsaf/saint-nicholas/SaintNicholas.jpg/@@images/image/thumb
297,Family at the Beach,Paintings,Physical Art,722,Anonymous,,,,,Anonymous,https://artcrimes.fbi.gov/nsaf/family-at-the-beach/FamilyBeach.gif/@@images/image/thumb
298,"Small Bee Brooch, Ruby and Diamond",Brooches and Pins,Accessories,911,Zadora Limited,Gold; diamond; ruby,,20th Century,1908,"brooch; bee; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/small-bee-brooch-ruby-and-diamond-id-013476/seal-fbi.jpg/@@images/image/thumb
299,Marie's Path,Paintings,Physical Art,1046,Max Moran,Oil on canvas,34 x 42 in,1991,1991,,https://artcrimes.fbi.gov/nsaf/maries-path-id-01-07-003637-57/MariesPath.gif/@@images/image/thumb
300,Shah Abbas Playing Polo,Paintings,Physical Art,926,"Behzad, Iran",,10 x 12 in,19th Century,1863,painting; Persian; man; horse; riding; polo,https://artcrimes.fbi.gov/nsaf/shah-abbas-playing-polo/ShahAbbas.gif/@@images/image/thumb
301,Scenery III,Paintings,Physical Art,884,Adolfo,Acrylic on canvas,78.75 x 63 in,1995,1995,painting; abstract art; circles; yellow; blue; red; black; white,https://artcrimes.fbi.gov/nsaf/scenery-iii/Scenery3.gif/@@images/image/thumb
302,1820s Vases,Vase,Containers,240,,,5 x 3 in,circa 1820,1820,vase; figures,https://artcrimes.fbi.gov/nsaf/1820s-vases/1820sVases.gif/@@images/image/thumb
303,Sigmund Menkes,Paintings,Physical Art,876,Arbit Blatas,Oil on canvas,102.00 x 76.00 cm,20th Century,1915,painting; portrait; right facing; man; tie; vest; unsigned,https://artcrimes.fbi.gov/nsaf/sigmund-menkes/SigmundMenkes.gif/@@images/image/thumb
304,Point Pleasant in Winter,Paintings,Physical Art,920,Edward W. Redfield,Oil on canvas,18 x 24 in,1920s,1920,painting; landscape; winter; snow; trees; river; Signed lower right,https://artcrimes.fbi.gov/nsaf/point-pleasant-in-winter/PointPleasant.gif/@@images/image/thumb
305,Fossil Rabbit,Other - Arts and Antiques,Miscellaneous,847,,Partially mineralized bone,2 x 1 in,,,fossil; catalogue number 16921; bone fracture patterns are unique,https://artcrimes.fbi.gov/nsaf/fossil-rabbit/FossilRodent.gif/@@images/image/thumb
306,Village in Great Britain,Paintings,Physical Art,926,T. H. Victor,Watercolor on paper,16 x 24 in,19th Century,1886,painting; exterior; landscape; village; buildings,https://artcrimes.fbi.gov/nsaf/village-in-great-britain/VillageInGreatBritain.gif/@@images/image/thumb
307,Laguna Landscape,Paintings,Physical Art,330,Marco Sassone,Oil on canvas,15 x 17 in,1975,1975,painting; house; porch; balcony; trees; Signed lower left,https://artcrimes.fbi.gov/nsaf/laguna-landscape/LagunaLandscape.gif/@@images/image/thumb
308,Place de la Bastille,Paintings,Physical Art,905,Eugene Galien Laloue,Gouache,7.5 x 12.5 in,1854-1941,1898,"painting; cityscape; Paris, France; street; buildings; monument; people; walking; Signed lower left",https://artcrimes.fbi.gov/nsaf/place-de-la-bastille/Bastille.gif/@@images/image/thumb
309,"Letter ""A"" (Alphabet Series)",Print,Physical Art,561,Erte,Serigraph,15.5 x 10 in,20th Century,1929,print; letter; nude woman; signed; # 311/350,https://artcrimes.fbi.gov/nsaf/letter-a-alphabet-series/LetterA.gif/@@images/image/thumb
310,Bronze Boar,Sculpture,Figures,992,,Bronze,,Contemporary,,48 in. x 80 in. x 35 in.,https://artcrimes.fbi.gov/nsaf/bronze-boar/BronzeBoar.gif/@@images/image/thumb
311,"The Law, bronze",Sculpture,Figures,525,Fritz White,Bronze,19.5 x 16 x 6 in,1990,1990,sculpture; western; man; standing; gun; coat; hat; Signed; #7 of 25,https://artcrimes.fbi.gov/nsaf/the-law-bronze-by-fritz-white/TheLaw.gif/@@images/image/thumb
312,Bead Necklace,"other,jewelry",Accessories,461,Baole,Gold,36.00 x 25.00 cm,1600-1800,1700,jewelry,https://artcrimes.fbi.gov/nsaf/bead-necklace/BeadNecklace.jpg/@@images/image/thumb
313,Quails,Sculpture,Figures,264,Chinese,Cloisonne,,18th Century,1761,sculpture; quails,https://artcrimes.fbi.gov/nsaf/quails/Quails.gif/@@images/image/thumb
314,Backstage at the Theatre,Paintings,Physical Art,876,Arbit Blatas,Oil on canvas,,20th Century,1929,painting; impressionism; interior; men; women; stairs; door; unsigned,https://artcrimes.fbi.gov/nsaf/backstage-at-the-theatre/Backstage.gif/@@images/image/thumb
315,"Untitled (""M"")",Paintings,Physical Art,819,"Donaldson, Anthony",Acrylic on paper,22 x 22 in,1967,1967,"Painting; Abstract; Singed lower center ""Anthony Donaldson."" Verso",https://artcrimes.fbi.gov/nsaf/untitled-m/UntitledM.jpg/@@images/image/thumb
316,"WPA Murals USPO, Henderson TX",Paintings,Physical Art,821,Paul Ninas,Oil on burlap,Height,1949,1949,original stretcher bars inscribed and dated,https://artcrimes.fbi.gov/nsaf/wpa-murals-uspo-henderson-tx/WPAMuralsUSPOHendersonTX.jpg/@@images/image/thumb
317,Portrait of a Young Girl (Rembrandt),Paintings,Physical Art,926,Rembrandt,Porcelain,8 x 6 in,17th Century,1624,painting; realism; portrait; full face; girl,https://artcrimes.fbi.gov/nsaf/portrait-of-a-young-girl-rembrandt/YoungGirl.gif/@@images/image/thumb
318,Memphis Gold Cup Race Trophy,Other - Arts and Antiques,Miscellaneous,,,18k Gold,Height,1902,1902,Three inscribed names,https://artcrimes.fbi.gov/nsaf/memphis-gold-cup-race-trophy/seal-fbi.jpg/@@images/image/thumb
319,Tiffany Lamp in Shades of Irory,lamp,Furniture,11,Tiffany; Frank Lloyd Wright,Stained glass,"4' 5""",,,lamp; Bad crack with chip,https://artcrimes.fbi.gov/nsaf/tiffany-lamp-in-shades-of-irory/TiffanyLampIvory.gif/@@images/image/thumb
320,Barovier Spina Vase,Vase,Containers,881,Barovier,Glass vase,Height,1940s-1950s,1940,No Image Associated with this Item; Engraved signature,https://artcrimes.fbi.gov/nsaf/barovier-spina-vase/seal-fbi.jpg/@@images/image/thumb
321,Portrait of Son (1970),Paintings,Physical Art,232,Otari Shiuk; Russia,Oil on canvas,36 x 28 in,1970,1970,painting; portrait; right facing; man; signed,https://artcrimes.fbi.gov/nsaf/portrait-of-son-1970/Son1970.gif/@@images/image/thumb
322,Interior with Woman and Children,Paintings,Physical Art,98,Bernard Pothast,Oil on canvas,18 x 20 in,1880-1890,1885,painting; woman; child; interior; possible artist's signature in lower left behind frame,https://artcrimes.fbi.gov/nsaf/interior-with-woman-and-children/WomanAndChildren.gif/@@images/image/thumb
323,Hagi,Ornamental Ceramic Wares,Containers,507,Japan,Ceramic,6 in,,,tea bowl,https://artcrimes.fbi.gov/nsaf/hagi/Hagi.gif/@@images/image/thumb
324,Golden Autumn,Other - Arts and Antiques,Miscellaneous,697,Keliang Chen; China,Ink on paper; silk,Scroll,1990,1990,scroll; abstract art; lavender; green; yellow; gold; red stamp lower right,https://artcrimes.fbi.gov/nsaf/golden-autumn/GoldenAutumn.gif/@@images/image/thumb
325,Blue Checker,Paintings,Physical Art,798,Harmoney Korine,,102 x 84 in,,,,https://artcrimes.fbi.gov/nsaf/blue-checker/00798_picture.jpg/@@images/image/thumb
326,Spectator #3,Sculpture,Figures,964,Jean Buckley,Steel,27 x 12 1/5 x 7 in,1957,1957,sculpture; modern art; figures; two; sitting,https://artcrimes.fbi.gov/nsaf/spectator-3/Spectator3.gif/@@images/image/thumb
327,Untitled (Faces of God Series),Paintings,Physical Art,873,Tyree Guyton,Metal; paint,30 x 18 in,1996,1996,painting; face; modern art,https://artcrimes.fbi.gov/nsaf/untitled-faces-of-god-series-id-012381/FacesOfGod6.gif/@@images/image/thumb
328,The Method of Manjusri's Secret Yoga for Observing the Self and Becoming a Buddha in One Chapter,Books,Physical Art,865,China,,21.90 cm,1316,1316,book; China; Woodblock edition,https://artcrimes.fbi.gov/nsaf/the-method-of-manjusris-secret-yoga-for-observing-the-self-and-becoming-a-buddha-in-one-chapter/seal-fbi.jpg/@@images/image/thumb
329,Carved Walrus Head,Sculpture,Figures,731,Inuit,Ivory carving,"8.00 x 5.40 cm, Diameter",19th c.,1850,sculpture; walrus; several large cracks,https://artcrimes.fbi.gov/nsaf/carved-walrus-head/CarvedWalrusHead.jpg/@@images/image/thumb
330,Fossil Horse,Other - Arts and Antiques,Miscellaneous,847,,Partially mineralized bone,7.5 x 3.75 in,,,fossil; catalogue number 352701; 4 of the tooth sockets for the incisors have their exterior walls broken off,https://artcrimes.fbi.gov/nsaf/fossil-horse/FossilHorse.gif/@@images/image/thumb
331,Dry Flowers in Russian Vase,Paintings,Physical Art,232,Otari Shiuk; Russia,Oil on canvas,40 x 30 in,1983,1983,painting; still life; vase; flowers; signed,https://artcrimes.fbi.gov/nsaf/dry-flowers-in-russian-vase/DryFlowers.gif/@@images/image/thumb
332,Strains of Blue,Paintings,Physical Art,964,Evelyn Delight Carpenter,Oil on canvas,34 x 34 in,1963,1963,painting; abstract art; blue,https://artcrimes.fbi.gov/nsaf/strains-of-blue/StrainsBlue.gif/@@images/image/thumb
333,Belcher Engraved Bowl,Ornamental Ceramic Wares,Containers,389,Caddo Nation,Ceramic,5.00 cm,600 AD,600,"pottery; engraved linear design, repeats four times; sharp-shouldered bowl, four nodes, evidence of mica in paste, no signs of use or wear",https://artcrimes.fbi.gov/nsaf/belcher-engraved-bowl-id-020719/BelcherBowl719.gif/@@images/image/thumb
334,Sitting Bull's Pipe Bag,Ethnographic Works of Art,Relgion,864,Sioux,Beaded leather,,1860s,1860,pipe bag; Accompanied by letter describing ownership and use by Sitting Bull,https://artcrimes.fbi.gov/nsaf/sitting-bulls-pipe-bag/SittingBullPipeBag.gif/@@images/image/thumb
335,"Lucerne, Suisse",Photographs,Physical Art,963,Adolphe Braun,,19 x 9 in,,,photograph,https://artcrimes.fbi.gov/nsaf/lucerne-suisse/seal-fbi.jpg/@@images/image/thumb
336,"Hanging Bat Pin, Enamel and Ruby",Other - Assorted,Miscellaneous,911,Zadora Limited,18kt gold; ruby; diamond,,20th Century,1937,"No Image Associated with this Item; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/hanging-bat-pin-enamel-and-ruby-id-013410/seal-fbi.jpg/@@images/image/thumb
337,Armenian Street Scene,Paintings,Physical Art,995,Khatchatur Yessayan,Oil on canvas,"20'"" x 24""",1938,1938,signed and dated lower left,https://artcrimes.fbi.gov/nsaf/armenian-street-scene/ArmenianStreetScene.gif/@@images/image/thumb
338,"Japanese Inro, Boy Fighting Demon",Other - Arts and Antiques,Miscellaneous,849,Japan,Lacquer; wood; mother of pearl,6.60 x 5.20 x 2.10 cm,18th Century,1758,"inro; box; Asian; figure; Signature in gold on base, ""Ritsuo,"" and green-glazed pottery seal, ""Kan.""",https://artcrimes.fbi.gov/nsaf/japanese-inro-boy-fighting-demon/InroFightingDemon.gif/@@images/image/thumb
339,Clyde Drexler rookie cards,Sports Collectibles,,956,Unknown,Basketball cards,,,,No Image Associated with this Item,https://artcrimes.fbi.gov/nsaf/clyde-drexler-rookie-cards/seal-fbi.jpg/@@images/image/thumb
340,Bone Rainbow,Sculpture,Figures,289,Ruth Snyder,Stainless steel,72 x 144 in,2005,2005,sculpture; rainbow,https://artcrimes.fbi.gov/nsaf/bone-rainbow/BoneRainbow.gif/@@images/image/thumb
341,The Colosseum and the Arch of Constantine in Rome,Paintings,Physical Art,799,Victor-Jean Nicolle,Black and brown ink and tempera on paper,"1.75"" x 2.69""",18th-19th c.,1800,,https://artcrimes.fbi.gov/nsaf/the-colosseum-and-the-arch-of-constantine-in-rome/ColosseumArchConstantineRome.gif/@@images/image/thumb
342,Lavender Mauve Macchia Pair with Dark Teal Lip Wraps,Sculpture,Figures,872,Dale Chihuly,Glass,Height,,,Sculpture,https://artcrimes.fbi.gov/nsaf/lavender-mauve-macchia-pair-with-dark-teal-lip-wraps/LavenderMauveMacchiaPairDarkTealLipWraps.jpg/@@images/image/thumb
343,Then and Now...Prisms of Chandler Corridor Life,Paintings,Physical Art,75,Phoebe Beasley,acrylic plywood,48 x 48 in,2001,2001,"painting; interior; African-American; man; studio; music; keyboard; Artist's name, title, year, media, size on back; #8 in series of 8",
344,Marilyn (F. & S. 22),Print,Physical Art,412,Andy Warhol,Silkscreen,36 x 36 in,1967,1967,"print; Marilyn Monroe; portrait; woman; blond; Initialed in pencil on the verso; inscribed ""A.P."" aside from the numbered edition of 250; Edition Number 54/250 (Number 86/250 may have also been stolen in this theft.)",https://artcrimes.fbi.gov/nsaf/marilyn-f-s-22/Marilyn22.gif/@@images/image/thumb
345,Aubade,Print,Physical Art,923,Mikio Watanabe,Mezzotint Print,,20th Century,1943,Signed lower left#5/90,https://artcrimes.fbi.gov/nsaf/aubade/00923_picture_20.jpg/@@images/image/thumb
346,"Silver Mug (17th Century, Hunting Scenes)",Other - Arts and Antiques,Miscellaneous,1067,,Silver,,17th Century,1625,"mug,hunting",https://artcrimes.fbi.gov/nsaf/silver-mug-17th-century-hunting-scenes/SilverMug.gif/@@images/image/thumb
347,Trans East West #33: Former Trade Center,Paintings,Physical Art,301,Franz Ackermann,Mixed media on paper,13 x 11.5 in,1999,1999,painting; cityscape,https://artcrimes.fbi.gov/nsaf/trans-east-west-33-former-trade-center/FormerTradeCenter.gif/@@images/image/thumb
348,Vainglory,Books,Physical Art,895,Ronald Firbank,Printed paper,19.00 cm,Copyright 1915,1915,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/vainglory/seal-fbi.jpg/@@images/image/thumb
349,Double Mickey Mouse,Print,Physical Art,605,Andy Warhol,Paper,30.5 x 43 in,1981,1981,print; Mickey Mouse; not signed,https://artcrimes.fbi.gov/nsaf/double-mickey-mouse/DoubleMickeyMouse.gif/@@images/image/thumb
350,Eastern Oceans of Time,Sculpture,Figures,972,Eric Orr,Metal; water,Height,1993,1993,sculpture; water,https://artcrimes.fbi.gov/nsaf/eastern-oceans-of-time/EasternOceans.gif/@@images/image/thumb
351,Old Indian Days,Books,Physical Art,895,Charles Alexander Eastman,Printed paper,20.00 cm,Copyright 1907,1907,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/old-indian-days/seal-fbi.jpg/@@images/image/thumb
352,Melastroma intermedia,Paintings,Physical Art,1056,Mang Hang Ho,Watercolor and pencil on paper,Width,1985,1985,signed Ho Mang Hang in middle right,https://artcrimes.fbi.gov/nsaf/melastroma-intermedia/MelastromaIntermedia.gif/@@images/image/thumb
353,High Country Bugler,Sculpture,Figures,179,Vince Valdez,Bronze,29 x 25 in,,,sculpture; elk; Signed; Number 11/20,https://artcrimes.fbi.gov/nsaf/high-country-bugler/HighCountryBugler.gif/@@images/image/thumb
354,Peach Cylinder with Indian Blanket Design,Sculpture,Figures,872,Dale Chihuly,Glass,Height,,,Sculpture,https://artcrimes.fbi.gov/nsaf/peach-cylinder-with-indian-blanket-design-id-022483/PeachCylinderIndianBlanketDrawing022483.jpg/@@images/image/thumb
355,Elizabeth I (doll),dollsandfigurines,Figures,787,Dorothy Heizer,,10.5 in,1942,1942,doll; woman; royalty; gown; Queen Elizabeth,https://artcrimes.fbi.gov/nsaf/elizabeth-i-doll/Elizabeth.gif/@@images/image/thumb
356,High Bridge Station,Paintings,Physical Art,953,Manuel J. Tolegian,Oil,24 x 30 in,1937,1937,"painting; exterior; building; railroad tracks; train station; Signed lower right ""Tolegian 37""; Rear tag data",https://artcrimes.fbi.gov/nsaf/high-bridge-station/HighBridgeStation.gif/@@images/image/thumb
357,Enlightenment,Paintings,Physical Art,723,Linda Benningfield,Oil on canvas,34 x 42 in,1997,1997,"painting; abstract art; blue; black; white; Signed by artist on back of painting either L. or Linda Benningfield and John 1:4-5; Piece out of frame has been repaired, possibly top right corner",https://artcrimes.fbi.gov/nsaf/enlightenment/Enlightenment.gif/@@images/image/thumb
358,"Duck Cuff Links, Green Tourmaline with Diamond Details","other,jewelry",Accessories,911,Zadora Limited,Tourmaline; gold; diamond,,20th Century,1999,"cuff links; duck; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/duck-cuff-links-green-tourmaline-with-diamond-details/seal-fbi.jpg/@@images/image/thumb
359,Hopi Pueblo,Other - Collectibles,,1139,Thomas Polacca,Ceramic pot,Height,,,,https://artcrimes.fbi.gov/nsaf/hopi-pueblo-by-thomas-polacca/01139_picture_3.jpg/@@images/image/thumb
360,Soul of Dunhuang,Paintings,Physical Art,406,Jiang Tie-Feng; China,Mixed media rice paper,20 x 20 in,1985,1985,painting; Asian; modern art; women; dancing; Signed in Chinese,https://artcrimes.fbi.gov/nsaf/soul-of-dunhuang/Dunhuang.gif/@@images/image/thumb
361,Green Tara,Sculpture,Figures,258,Asian,Bronze gilt,8 in,18th Century,1755,"sculpture,seated figure, Buddhism, tara",https://artcrimes.fbi.gov/nsaf/green-tara/GreenTara.gif/@@images/image/thumb
362,Untitled,"drawing,watercolour",Physical Art,819,Yves Tanguy,Pencil on paper,10.75 x 14.75 in,Unknown (Perhaps 1940),1940,"Drawing; Singed lower right ""Yves Tanguy""; The paper appears to be in good condition. No major problems with the paper or drawing. The frame is in fair condition. Gilded wood frame with clothe matte and glass. There is a very large stain on the matte in the lower right corner. Otherwise, the frame is structurally sound and in good condition. The problem with the matte is there are black marks on the paint around the frame (aesthetic issue).",https://artcrimes.fbi.gov/nsaf/untitled-perhaps-surrealist-composition/UntitledPerhapsSurrealistComposition.jpg/@@images/image/thumb
363,Paris - Church of St. Germain des Pres,Paintings,Physical Art,876,Arbit Blatas,Oil on canvas,90.50 x 63.50 cm,20th Century,1957,"painting; impressionism; church; building; tree; Signed lower left ""A. Blatas""",https://artcrimes.fbi.gov/nsaf/paris-church-of-st-germain-des-pres/ChurchStGermain.gif/@@images/image/thumb
364,The Guitar Player,Paintings,Physical Art,989,Jules Zermati,Oil on canvas,"23"" x 17.5""",19th Century,1871,"Signed lower left J. Zermati; label on back of frame ""Alan Barnes Fine Art""",https://artcrimes.fbi.gov/nsaf/the-guitar-player/TheGuitarPlayer.gif/@@images/image/thumb
365,Fringe Cape,Print,Physical Art,323,Erte,Serigraph,,20th Century,1939,print; woman; standing; cape; headdress; hearts; XL/CLL,https://artcrimes.fbi.gov/nsaf/fringe-cape/FringeCape.gif/@@images/image/thumb
366,American Bald Eagle,Sculpture,Figures,333,Mike Curtis,Bronze,20 in,1980s,1980,sculpture; eagle; flying; salmon; Signed; #47/50,https://artcrimes.fbi.gov/nsaf/american-bald-eagle/AmericanBaldEagle.gif/@@images/image/thumb
367,Maria Poveka,Ceramic Tea and Coffee Wares,Containers,1139,Maria Martinez,Ceramic pot,Height,,,Signed Maria Poveka,https://artcrimes.fbi.gov/nsaf/maria-poveka/01139_picture_35.jpg/@@images/image/thumb
368,Mexican Serape,Other - Textiles,Fabrics,295,Mexico,Wool; cotton,92 x 51 in,Early 19th Century,1833,textile,https://artcrimes.fbi.gov/nsaf/mexican-serape/MexicanSerape.gif/@@images/image/thumb
369,Friendfield,Paintings,Physical Art,1050,Louis Aston Knight,Watercolor,12 x 15 in,1873-1948,1911,painting; Serial #98323,https://artcrimes.fbi.gov/nsaf/friendfield/seal-fbi.jpg/@@images/image/thumb
370,Le Nouveau Doute de Dante Paradise 7,Print,Physical Art,702,Salvador Dali,Color wood engraving on Rives paper after watercolor,"9.75"" x 7""",1960,1960,Hand-signed in pencil lower right margin. Other no. 248980.0001,https://artcrimes.fbi.gov/nsaf/le-nouveau-doute-de-dante-paradise-7/NouveauDouteDanteParadise7.gif/@@images/image/thumb
371,Monsieur Lemay,Paintings,Physical Art,876,Arbit Blatas,Oil on canvas,,20th Century,1950,painting; impressionism; man; standing; unsigned,https://artcrimes.fbi.gov/nsaf/monsieur-lemay/MonsieurLemay.gif/@@images/image/thumb
372,Horse and Jockey,Sculpture,Figures,264,Pierre Jules Mene,Bronze,12 in,,,sculpture; horse; jockey; P. J. MENE,https://artcrimes.fbi.gov/nsaf/horse-and-jockey/HorseJockey.gif/@@images/image/thumb
373,Coin With Writing Around the Edges on Both Sides,Coins and Paper Money,,1049,,,,,,coin; writing,https://artcrimes.fbi.gov/nsaf/coin-with-writing-around-the-edges-on-both-sides-id-014282/2sidedcoin5.gif/@@images/image/thumb
